method,target_id,target_x,target_y,target_z,reachable,planned_success,sim_success,final_error_m,planned_error_m,max_tilt_deg,planned_max_tilt_deg,path_length_m,joint_path_length_rad,mean_joint_step_rad,max_joint_step_rad,rms_joint_speed_rad_s,max_joint_speed_rad_s,rms_joint_accel_rad_s2,max_joint_accel_rad_s2,message
proposed,31,0.8141644340073257,-0.2604771490812935,1.3302825931188884,True,True,True,0.0046030169872922485,1.9900515755418648e-06,1.120097324254245,0.005728017661760521,0.6848794729459724,1.0917343974814682,0.024812145397306095,0.036340879898154425,0.9008589810517045,1.2113626632718144,2.188606143882669,4.224918177000911,ok
proposed,32,0.6716784060753331,-0.5035122340108307,0.8180059021205153,True,True,True,0.002108338606272692,1.7561403721722646e-06,1.3687492314993972,0.019163351546842837,1.1770855419454909,1.7627259955228296,0.04006195444370067,0.058198521976997236,1.4451088293972243,1.9399507325665748,3.7812014951201833,7.675241427561604,ok
proposed,33,1.0604362324287449,0.7852407889800558,1.3997071338107494,True,True,True,0.007895638848993147,7.375918911609692e-07,0.8616203161784712,0.004651544370813005,0.9042636285893008,0.7573078528232795,0.01721154210961999,0.025125042029385973,0.6238944745444529,0.8375014009795325,1.6859516825766234,3.081902770845051,ok
proposed,34,0.5673663907300336,0.5097063076463774,1.4787509039657944,True,True,True,0.004536513043113494,1.8608734679174583e-06,1.5696903139538767,0.0039859273750378664,1.0078220273706802,1.3101596287815185,0.029776355199579965,0.04312277920243152,1.07865504209658,1.4374259734143844,2.8253350314547285,5.121317645700488,ok
proposed,35,1.1200084042786584,-0.08866074963047785,0.972241561845159,True,True,True,0.004398555041070551,1.303314785357989e-06,0.8822864800787263,0.016767887529476014,0.6571571366438662,1.114413178351859,0.025327572235269522,0.03729579334245208,0.9200042879999306,1.2431931114150694,2.2357852589136367,4.463945892995175,ok
proposed,36,0.5074402638530563,0.3684763283715002,1.155776289833611,True,True,True,0.013141913375132833,0.012372114550782626,1.5838001045472194,1.3509484108080467,1.0901951652072126,1.7798351667700134,0.04045079924477303,0.0564030498484629,1.4510109828425857,1.8801016616154302,5.319861607608676,25.246840979229912,ok
proposed,37,0.6795230281788104,-0.2122187816798992,1.279219568941896,True,True,True,0.004743429175990801,2.6541251371761593e-06,1.2379860948993548,0.006535157327924375,0.812915186804117,1.371413293621823,0.031168483945950523,0.04449942501852649,1.1255207877468516,1.4833141672842165,2.8021921609757126,5.217414189558841,ok
proposed,38,0.5871558435825569,0.365112556724295,1.45851952983521,True,True,True,0.004459303739962691,2.119441907944691e-06,1.5305334358977245,0.005229614623380621,0.9230813610546138,1.3135221335013372,0.029852775761394026,0.04308570993642349,1.0805278459511642,1.4361903312141162,2.7696542205013235,5.01614201935359,ok
proposed,39,1.1192605843020214,-0.11901424475895461,1.3273088407024431,True,True,True,0.005465148853208134,1.2992891880769205e-06,0.7452763844033682,0.006633405652959338,0.36735419923045465,0.663869971508773,0.01508795389792666,0.022565424708336175,0.5504767841823373,0.7521808236112059,1.2992115419273103,2.4965466663219202,ok
proposed,40,0.9896105977084164,0.23563988926051435,0.784444321139889,True,True,True,0.0020627342711776737,1.3657671402276487e-06,1.539231847760622,0.024281065346827578,0.9282062135066019,1.5181376569325118,0.03450312856664799,0.048935461459472376,1.2402673438413827,1.6311820486490791,3.1917479709744847,6.178548366304214,ok
