sample,x,y,z,desired_x,desired_y,desired_z,ik_error_mm
22,1.2395095180870266,-0.044330315321312236,1.2611269242003285,1.2395045168315921,-0.04433037481523891,1.2611207664448452,0.007933098262344822
23,1.2313675392135333,-0.04735076262995207,1.241444091082157,1.2313626658119496,-0.04735081874165286,1.2414380219917018,0.007783768397772685
24,1.2232592119343262,-0.05035871979144092,1.2218426367426223,1.2232544819915614,-0.05035877289304376,1.2218366672468413,0.0076164334316048635
25,1.2152182050989866,-0.053341696995844914,1.2024039518565104,1.2152136325696814,-0.05334174749438848,1.202398091918547,0.007432997193840223
26,1.2072781875920435,-0.0562872044596297,1.1832094266807578,1.2072737847455641,-0.05628725277066399,1.1832036857151027,0.00723505893065874
27,1.1994728283648965,-0.05918275243037403,1.16434045103716,1.1994686057184638,-0.05918279894684718,1.1643348383447907,0.007023903637634993
28,1.1918357964493553,-0.062015851186766766,1.1458784142943612,1.1918317626876345,-0.062015896247915,1.1458729395158944,0.006800475232534321
29,1.1844007609768703,-0.06477401104502463,1.127904705357094,1.1843969228523301,-0.06477405489884437,1.1278993789366971,0.006565354323167987
30,1.1772013911665429,-0.06744474235578252,1.1105007126656365,1.1771977534118054,-0.06744478512461217,1.1104955463154822,0.006318723179560766
31,1.1702713563175862,-0.07001555550443267,1.093747824200776,1.1702679215653145,-0.0700155971501954,1.0937428313605322,0.00606033920163035
32,1.1636443257603302,-0.07247396090824214,1.0777274275086766,1.1636410945121114,-0.07247400120057092,1.0777226237801307,0.005789507445812346
33,1.157353968806142,-0.07480746901164863,1.0625209097540775,1.1573509394514503,-0.07480750750071569,1.0625163132825608,0.005505090522505211
34,1.1514339546808334,-0.07700359027676992,1.0482096577981894,1.1514311235825854,-0.0770036262756066,1.0482052895761058,0.005205552552620996
35,1.1459179524367804,-0.07904983517360688,1.0348750583085895,1.145915314104771,-0.07904986775022062,1.0348709423690483,0.004889050555462252
36,1.1408396308578783,-0.08093371416708922,1.0225984979009723,1.1408371782172615,-0.08093374214953462,1.0225946613696721,0.004553592145767806
37,1.136232658356049,-0.08264273770048185,1.011461363315042,1.1362303831193108,-0.08264275969852557,1.0114578362862603,0.00419727508693426
38,1.132130702866708,-0.08416441618230869,1.001545041605941,1.1321285960101732,-0.08416443062217036,1.0015418568270957,0.003818621382296177
39,1.128567431746421,-0.08548625996698277,0.9929309203560384,1.1285654840891028,-0.08548626514544597,0.9929281127004613,0.0034170638982064555
40,1.125576511679515,-0.08659577934129625,0.9857003878797814,1.125574714555354,-0.08659577349332924,0.9856979936146408,0.002993692537915874
41,1.1231916085954332,-0.08748048451087016,0.979934833405466,1.1231899546081812,-0.08748046589079712,0.9799328892779174,0.0025525776114232145
42,1.1214463562793013,-0.0881278694787146,0.9757156411219607,1.121444871446838,-0.08812785256282661,0.9757141893985736,0.002076659429123719
43,1.1203745080908727,-0.088525490051895,0.9731242198392006,1.120373132270579,-0.08852544373439451,0.9731232836848932,0.0016647557414416836
44,1.1200096478036177,-0.08866081541795975,0.9722419464840971,1.1200084042786584,-0.08866074963047785,0.972241561845159,0.001303314785357989
