target_id,method_cn,error_mm,tilt_deg,sim_success
13,本文方法,2.0677329806937275,1.221121502163026,True
13,优先级IK,17.55758549393802,10.642998453787182,True
14,本文方法,4.368133921674143,1.0698267919914508,True
14,优先级IK,12.325194985202845,4.165812149236948,True
15,本文方法,3.587374448005425,1.593406488347042,True
15,优先级IK,19.148728008387657,5.269453302457026,True
16,本文方法,4.522468923165653,1.0371628810899878,True
16,优先级IK,4.146839762441182,6.719889662594348,True
17,本文方法,2.828347278994464,0.8154980264881522,True
17,优先级IK,9.275073064939352,9.446839262211245,True
18,本文方法,nan,nan,False
18,优先级IK,20.141909590845838,29.75431822832292,False
19,本文方法,4.585663064129546,1.1403468945261768,True
19,优先级IK,7.997221239770553,2.2513495514632265,True
20,本文方法,4.8794762093191375,1.244018903657071,True
20,优先级IK,14.240504386094686,10.925031570679717,True
21,本文方法,35.08277916974508,10.146677745442616,False
21,优先级IK,22.34528563938276,12.9366228247348,False
22,本文方法,4.327387519998335,1.2819575338319202,True
22,优先级IK,19.328279583558377,2.1699648360300396,True
23,本文方法,3.896207602037773,1.0116135778854194,True
23,优先级IK,10.681981448961073,5.1073318242291545,True
24,本文方法,7.420078535918724,0.8339462143127028,True
24,优先级IK,12.646553061104026,3.301678180984024,True
25,本文方法,4.92377779020337,1.0121862252040306,True
25,优先级IK,10.350085727124988,3.1331468575874566,True
26,本文方法,4.718859103341188,0.6077585749050287,True
26,优先级IK,10.45775147966325,6.9694345028142894,True
27,本文方法,4.179915652361258,1.165027645006673,True
27,优先级IK,10.701607932911076,3.419374958484541,True
28,本文方法,6.36002645844937,0.5617459442334941,True
28,优先级IK,10.227542813404751,7.854486806694064,True
29,本文方法,3.745251570168355,1.0724273787288547,True
29,优先级IK,15.359751173284188,10.3365918229727,True
30,本文方法,7.494660536669343,0.7012464680939331,True
30,优先级IK,14.496614345491455,3.7334851697954154,True
31,本文方法,3.0729100054029748,1.5110878703753272,True
31,优先级IK,7.73658940596145,3.787756663466493,True
32,本文方法,5.177966241998586,0.9489397842771782,True
32,优先级IK,9.878965570924288,2.7154922576315195,True
33,本文方法,5.679477171753561,1.0445260376732126,True
33,优先级IK,18.80086212424495,1.866509885139244,True
34,本文方法,8.144244124689765,0.7010859044089233,True
34,优先级IK,10.779634036980207,2.6604846604612176,True
35,本文方法,4.298971797780861,1.4769164503598506,True
35,优先级IK,10.4143921718679,2.74441518725929,True
36,本文方法,6.456991524283268,1.0048135727763277,True
36,优先级IK,13.08938046832097,9.512464325287105,True
37,本文方法,4.6868410879392775,1.1826018377212248,True
37,优先级IK,6.90780210062589,3.3728729577609577,True
38,本文方法,7.619985558579147,0.902967862181218,True
38,优先级IK,12.515599012655047,1.067048756853951,True
39,本文方法,5.740516898219058,1.0364318852673855,True
39,优先级IK,20.085437212639185,2.6389437163193326,False
40,本文方法,5.031834353134682,0.9022122956618471,True
40,优先级IK,10.960457617123787,4.3150741169903934,True
41,本文方法,5.698163635831057,0.5633491884324799,True
41,优先级IK,9.3414007463283,7.117732528265693,True
42,本文方法,7.202558352937507,0.6191362361963257,True
42,优先级IK,3.648672875970697,8.641691298492601,True
43,本文方法,7.411266411882264,0.908075065593617,True
43,优先级IK,8.78250616396368,3.5396378088551588,True
44,本文方法,1.650723216166052,1.5269449406024298,True
44,优先级IK,13.789067553530453,10.985323282083097,True
45,本文方法,3.7974154761576866,1.633592620358268,True
45,优先级IK,5.905106799289036,2.8131905385818623,True
46,本文方法,4.596004883312363,1.2099492177551354,True
46,优先级IK,15.806776373322094,4.706374298533634,True
47,本文方法,2.4155888719810688,1.5289582710959944,True
47,优先级IK,14.168315249513315,12.14427958233003,True
48,本文方法,8.095653929344628,0.8396075205394948,True
48,优先级IK,13.951144244102455,1.941683023027844,True
49,本文方法,4.461490654475163,0.8292767559070069,True
49,优先级IK,9.256532736095677,8.62487534841554,True
0,本文方法,5.105627759455675,1.222559699822709,True
0,优先级IK,4.904648243229032,5.588939913343736,True
1,本文方法,8.180152192517951,0.9304523147334857,True
1,优先级IK,18.583990395284292,1.209737834510345,True
2,本文方法,4.480373547431365,1.3649093198730589,True
2,优先级IK,17.611203753027517,3.2808128468184865,True
3,本文方法,4.205674185817694,0.9015817709965931,True
3,优先级IK,7.812747505845327,6.4037262221476245,True
4,本文方法,7.667726962679089,0.9206804015538351,True
4,优先级IK,14.11780109622264,2.743395188898975,True
5,本文方法,3.6688249446410066,1.7790353307970346,True
5,优先级IK,19.686507686765086,5.802650701747959,True
6,本文方法,2.71924117931246,1.0912388847231633,True
6,优先级IK,4.592757204285824,9.861731910582508,True
7,本文方法,6.182332911154324,0.8097377440967438,True
7,优先级IK,13.044320938044883,5.157905382055421,True
8,本文方法,2.955380751104319,1.6373296861737692,True
8,优先级IK,17.985016032786547,4.896781555663053,True
