param,value,target_idx,ik_ok,sim_ok,final_error_m,max_tilt_deg
position_weight,15.0,14,True,True,0.00543083161669578,0.9206613808420525
position_weight,15.0,15,True,True,0.004615459726715697,1.1936721783399116
position_weight,15.0,16,True,True,0.004756928439316095,0.9902425496570615
position_weight,15.0,17,True,True,0.005358847700680529,0.6806684714689575
position_weight,15.0,18,True,True,0.003224170991704912,1.6824009821257562
position_weight,15.0,19,True,True,0.004392767457890226,1.4102743125055055
position_weight,15.0,20,True,True,0.0027535788534429144,1.599818901659197
position_weight,15.0,21,True,True,0.005003286973414539,0.9511318664628982
position_weight,15.0,22,True,True,0.004396289828789799,1.3084738542179168
position_weight,15.0,23,True,True,0.005112116857213442,0.9678512826953826
position_weight,15.0,24,True,True,0.008377023357863044,0.7886275460368047
position_weight,15.0,25,True,True,0.004805428165846727,0.9677178188536095
position_weight,15.0,26,True,True,0.0038903173831002554,1.6141458672602618
position_weight,15.0,27,True,True,0.003908069831724913,1.3188967481776817
position_weight,15.0,28,True,True,0.004771802375293018,1.238347506403101
position_weight,15.0,29,True,True,0.006477616916618473,0.7218541658751958
position_weight,30.0,0,True,True,0.004631252317580537,0.8313452776465688
position_weight,30.0,1,True,True,0.00787041653795629,0.6456360786232206
position_weight,30.0,2,True,True,0.004957242191867182,1.0010520558970666
position_weight,30.0,3,True,True,0.0030815378889898683,1.0900616515590889
position_weight,30.0,4,True,True,0.00437404786866274,0.782652059202452
position_weight,30.0,5,True,True,0.004218965932749289,1.0605810099529165
position_weight,30.0,6,True,True,0.004370381477709607,1.0651163609635663
position_weight,30.0,7,True,True,0.005395155890983247,1.02286316334393
position_weight,30.0,8,True,True,0.00469286483765501,0.9904491346830557
position_weight,30.0,9,True,True,0.004638819052515065,0.7675750262886809
position_weight,30.0,10,True,True,0.004197679946111625,1.056514993137884
position_weight,30.0,11,True,False,0.03240116549752567,15.127010819520748
position_weight,30.0,12,True,True,0.004809719768903652,1.049071055056061
position_weight,30.0,13,True,True,0.006210371983720786,1.1933372619331575
position_weight,30.0,14,True,True,0.005430835564453865,0.9206741328123311
position_weight,30.0,15,True,True,0.00461544295414938,1.1937034946904244
position_weight,30.0,16,True,True,0.0047569629340187295,0.9902444212786701
position_weight,30.0,17,True,True,0.005358850573594155,0.680671096185652
position_weight,30.0,18,True,True,0.003224318266349365,1.6823962423773355
position_weight,30.0,19,True,True,0.004392946370898482,1.4102768178570793
position_weight,30.0,20,True,True,0.002753826931954257,1.5998244650400255
position_weight,30.0,21,True,True,0.005003402201118473,0.9511314417497891
position_weight,30.0,22,True,True,0.00439638982311618,1.308472878142983
position_weight,30.0,23,True,True,0.005112232771352655,0.9678508834779228
position_weight,30.0,24,True,True,0.008376978601760668,0.7886282024562721
position_weight,30.0,25,True,True,0.004805470599396236,0.9677197055161506
position_weight,30.0,26,True,True,0.0038905031151781756,1.614143547431276
position_weight,30.0,27,True,True,0.003908111730289712,1.3189929476786106
position_weight,30.0,28,True,True,0.004772009408683446,1.2383469416531376
position_weight,30.0,29,True,True,0.006477594477365942,0.7218557161628574
orientation_weight,0.1,0,True,True,0.0046669840786343455,1.3295152863588162
orientation_weight,0.1,1,True,True,0.007953867870565588,1.1642755410612184
orientation_weight,0.1,2,True,True,0.004969249402577839,1.504300277115688
orientation_weight,0.1,3,True,True,0.0031587751507390453,1.9126555043685773
orientation_weight,0.1,4,True,True,0.004319620028406047,1.7058207517211144
orientation_weight,0.1,5,True,True,0.004331831743531055,1.6736931662474004
orientation_weight,0.1,6,True,True,0.00453879634122091,1.9589116303559253
orientation_weight,0.1,7,True,True,0.005375940836130249,1.001730015963027
orientation_weight,0.1,8,True,True,0.004717649676970298,1.3495367275319397
orientation_weight,0.1,9,True,True,0.004701410721458815,1.3146693694303413
orientation_weight,0.1,10,True,True,0.004211249158402591,1.8150745235645516
orientation_weight,0.1,11,True,True,0.004245621022669262,14.654505330516448
orientation_weight,0.1,12,True,True,0.004822422647682032,1.174733100593825
orientation_weight,0.1,13,True,True,0.006455170580702905,1.9839016346435765
orientation_weight,0.1,14,True,True,0.005450468005832991,1.040656590067942
orientation_weight,0.1,15,True,True,0.004591591119327741,1.168281212315282
orientation_weight,0.1,16,True,True,0.0047963456277198,1.2416163511341451
orientation_weight,0.1,17,True,True,0.005480364785914747,1.442208170506066
orientation_weight,0.1,18,True,True,0.003222374289148917,1.7254609205293787
orientation_weight,0.1,19,True,True,0.004422815346954961,1.719984005792075
orientation_weight,0.1,20,True,True,0.0027688297145981515,2.7012950786824637
orientation_weight,0.1,21,True,True,0.005003375547580431,1.5442081081048002
orientation_weight,0.1,22,True,True,0.004406541076224738,1.522980890407297
orientation_weight,0.1,23,True,True,0.005117816131917872,1.540992400593862
orientation_weight,0.1,24,True,True,0.008415261688702262,0.9502786156837072
orientation_weight,0.1,25,True,True,0.004833654096630689,1.2095756652663916
orientation_weight,0.1,26,True,True,0.003955812821077572,2.943451654338106
orientation_weight,0.1,27,True,True,0.0038910604838768596,1.3412176528696056
orientation_weight,0.1,28,True,True,0.004799407000055717,1.7190756041116562
orientation_weight,0.1,29,True,True,0.006498878206184824,0.9298960357512788
orientation_weight,0.45,0,True,True,0.004632102772106193,0.8500239076025825
orientation_weight,0.45,1,True,True,0.007874420032737134,0.658326275381485
orientation_weight,0.45,2,True,True,0.004957117172750639,1.0225170703938382
