target_id,target_x,target_y,target_z,reachable,planned_success,sim_success,final_error_m,planned_error_m,max_tilt_deg,planned_max_tilt_deg,path_length_m,message
43,0.8883639342345084,-0.501443392141252,1.6251201183767972,True,True,True,0.0042370118536202836,1.1340078569979092e-06,1.31749689617821,0.0034161014630984788,0.743746115195973,ok
44,0.9860301029416242,-0.24013110959229692,1.2909154914814167,True,True,True,0.004735910943847198,1.5765595610597207e-06,0.8679219653892788,0.0072008008853451785,0.5415386835732185,ok
45,0.428945218682672,0.37270124289721596,1.1823034369429002,False,False,False,nan,0.08727405712024212,nan,2.526021551372701,nan,"waypoint failed: err=0.0219 m, tilt=2.53 deg"
46,0.9356739823669012,-0.7126940702210119,1.1866583308381604,True,True,True,0.00548564008456424,1.1187979619670466e-06,0.8046019068886076,0.01038831803643233,0.9546920013943128,ok
47,0.7311264468495655,0.5948815180407897,1.2717280523760754,True,True,True,0.0038720194446362497,1.6794663340408747e-06,1.148164438550381,0.006916435330705109,0.958552749039216,ok
48,0.8680966168569126,-0.3302452921635624,1.0315689973425521,True,True,True,0.003890337129801894,1.928809016910945e-06,0.7414948267545698,0.013259704390486045,0.8137521191716311,ok
49,0.9621523233461767,-0.09196989344136862,0.7216120798803304,True,True,True,0.0012034797170084061,1.4982797560474762e-06,1.8970882864049354,0.028778972533371024,0.976138092114873,ok
50,0.9870318608436438,0.7016910567503407,0.8402490889986107,True,True,True,0.00396023414670542,1.0373555074830899e-06,1.409751955829442,0.023007943334700447,1.1224270605540017,ok
51,0.8137441319260182,-0.5694946575805719,1.3722400930398115,True,True,True,0.0041098395409267284,1.4752880054919261e-06,1.153317381793846,0.004795349786810319,0.8574561941458162,ok
52,0.751143309534846,0.19075801600379966,1.4269946142868826,True,True,True,0.004471536598045474,2.0301289662421334e-06,1.2965239408970948,0.003487739540438442,0.702117475795303,ok
53,0.9535369055808226,-0.6691795733246215,1.6160118451376078,True,True,True,0.005759547168942398,8.536132101743547e-07,1.221272803773082,0.0025276321712081246,0.836613932121246,ok
54,0.5511611809433244,-0.4850038070315057,1.2548524693914833,True,True,True,0.004537267376140046,2.479363897787405e-06,1.3695606778085325,0.006783059093408477,1.046418839800718,ok
55,0.7371298674633446,0.4166587408401313,1.5082514720643019,True,True,True,0.004114184170442179,1.65630311574248e-06,1.388596931537059,0.0028317536690958558,0.8059710978596991,ok
56,0.6113217027928451,0.5217636733968448,0.9909178381401186,True,True,True,0.004163564969925525,2.537728122590042e-06,1.012757717378217,0.012645933504363818,1.115457774679378,ok
57,0.8931697947817648,-0.3574627995914466,1.6360435700489633,True,True,True,0.003924994193689846,1.2421399730813035e-06,1.3272349607462994,0.004127056499273521,0.6452014208942559,ok
58,0.5169917779011349,-0.4443148102017681,1.135097060003038,True,True,True,0.0038121849632269823,3.2284529588251015e-06,1.2922818779390557,0.009105546940975366,1.0987145558739917,ok
59,1.1007421650247877,0.7709961796222922,1.448608019456949,True,True,True,0.00840006871587615,6.56689708188481e-07,0.8640695996239627,0.0031881152922135533,0.8688710042184815,ok
60,1.032176263092668,0.7272253855832593,1.2188583603864491,True,True,True,0.006610760474656174,9.497462264564338e-07,0.7919004435031459,0.009871436652888713,0.912341473075448,ok
61,0.7315486784426483,0.3305045276330769,1.3616612631677611,True,True,True,0.004696882892881145,2.069103543856859e-06,1.2511911509442661,0.0048648099544241425,0.7841638621358846,ok
62,0.6846369655699729,-0.5019441101618012,1.446789611349026,True,True,True,0.004156643353283403,1.7315015629203238e-06,1.393222257923418,0.0030671366401381146,0.9034170640947674,ok
63,0.5902474679974774,0.4787065018176851,0.9409705750056847,True,True,True,0.004499302711635827,3.069879078101992e-06,0.9893330338062822,0.01358952468017799,1.135100694078313,ok
64,0.5636382844001641,0.3201302098542266,0.853284316624494,True,True,True,0.006759198393419098,0.004296435013508473,3.7548859054517427,2.7197277760348393,1.2107275117401286,ok
65,0.6850976885058164,0.10707487670331549,1.5745620408374643,True,True,True,0.0036301579391612433,1.8541977269564236e-06,1.5278143917757245,0.00711549447890388,0.7479922962784893,ok
66,0.6764161715655868,-0.20620154831085252,1.4774048382411775,True,True,True,0.004181258130832367,2.066594285645158e-06,1.44243494458287,0.005336843934485713,0.7779017395995176,ok
67,1.3274602534974094,0.0015348772335184904,0.8438975025512507,True,True,True,0.005839427268312163,9.768610759762788e-07,1.3839411269079815,0.021201192312288685,0.7518094283218836,ok
68,0.5119808434054156,-0.22970383114513246,0.831822217786521,True,True,True,0.009554787257815209,7.9352391807409e-06,14.359292311634896,4.246650142244232,1.8252680114811628,ok
69,0.9075283701982384,-0.6075635834504859,1.2063299316206328,True,True,True,0.0049823625164995625,1.3292260224281744e-06,0.8651743959572359,0.009340754668714398,0.8761510339073313,ok
70,1.096571367549432,0.13950767056035387,0.8997756516600576,True,True,True,0.0036926800007713264,1.2898318332530298e-06,1.0995933335286607,0.01916956384294181,0.7479449002353042,ok
71,1.1265577615437583,0.39348646133625886,1.4389840039155417,True,True,True,0.006194083240022887,1.0469895052753372e-06,0.8426551343376067,0.0035372917871165067,0.5050372329042985,ok
72,0.5452491757382304,-0.36266635306146267,1.6275625510065077,True,True,True,0.003704712415215101,1.7770243880748549e-06,1.7544287698702004,0.008993339594037223,0.9643641665740667,ok
73,0.8265472881659044,-0.26523985357182406,1.1885840453515333,True,True,True,0.004529209196152523,2.1691741999307156e-06,0.9587836652554882,0.009090129865524009,0.7280780562774748,ok
74,0.8187077284611806,0.704802880179986,0.986446226882055,True,True,True,0.003547017648812932,1.2475635744201615e-06,1.0336106065402604,0.01628652045053418,1.1049101238946504,ok
75,0.9514501912065634,-0.8708887157614273,1.2551980423268247,True,True,True,0.006818326491227068,8.358091641589344e-07,0.8841437153243358,0.008906633060115996,1.0624927434106504,ok
76,0.863598567531641,-0.6097763979234693,0.8403395970639126,True,True,True,0.002556071830063913,1.2414394005057183e-06,1.4379989258717074,0.0228232760134387,1.1129674766830393,ok
77,0.6612753130676176,0.588605064050159,1.296042553234373,True,True,True,0.0041818084737196455,1.818254304101456e-06,1.2615507222697953,0.006155639015189635,1.0006165179238933,ok
78,1.1530123674797979,0.5926749597846778,1.1673816015552916,True,True,True,0.006923683794718588,9.388015452861499e-07,0.7889351729543667,0.011436078717026494,0.7771352638453329,ok
79,0.8600431132876079,-0.8047136312062111,0.8091439967657349,True,True,True,0.003528845150959414,1.0545499993014006e-06,1.4910055788112573,0.025652704517308483,1.2642750989999219,ok
80,1.0857582125609235,0.5420474650365459,0.9326407419664337,True,True,True,0.004630581702895481,1.0729003363492028e-06,1.1660577825598661,0.018729934516809748,0.9125599139683892,ok
